# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Hua Cheng; Siying Ding; Yongzheng Liu  |  The effectiveness of entry deregulation: Novel evidence from removing minimum capital requirements  (JDE 2024, doi:10.1016/j.jdeveco.2024.103304)  [single_country; CHN]
Jing Xing; Katarzyna Bilicka; Xipei Hou; Sepideh Raei  |  How distortive are turnover taxes? Evidence from China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103332)  [single_country; CHN]
Kevin Zhengcheng Liu; Xiaoming Zhang  |  Discretion, talent allocation, and governance performance: Evidence from China’s imperial bureaucracy  (JDE 2024, doi:10.1016/j.jdeveco.2024.103391)  [single_country; CHN]
Lina Meng; Pengfei Liu; Yinggang Zhou; Yingdan Mei  |  Blaming the wind? The impact of wind turbine on bird biodiversity  (JDE 2024, doi:10.1016/j.jdeveco.2024.103402)  [single_country; CHN]
Naijia Guo; Wei Huang; Ruixin Wang  |  Public pensions and family dynamics: Eldercare, child investment, and son preference in rural China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103390)  [single_country; CHN]
Orazio Attanasio; Costas Meghir; Corina Mommaerts; Yu Zheng  |  Growing apart: Declining within- and across-locality insurance in rural China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103366)  [single_country; CHN]
Qing Liu; Larry D. Qiu; Chaoqun Zhan  |  FDI inflows and export quality: Domestic competition and within-firm adjustment  (JDE 2024, doi:10.1016/j.jdeveco.2024.103293)  [single_country; CHN]
Ruochen Dai; Dongmei Guo; Yajie Han; Yu Qin  |  Pollution-induced trips: Evidence from flight and train bookings in China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103340)  [single_country; CHN]
Ruoyu Qian  |  Communist propaganda and women’s status  (JDE 2024, doi:10.1016/j.jdeveco.2024.103341)  [single_country; CHN]
Shuo Chen; Bin Xie  |  The abolition of People’s Communes and fertility decline in rural China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103375)  [single_country; CHN]
Wei Huang; Mi Luo; Yuqi Ta; Boxian Wang  |  Land expropriation, household behaviors, and health outcomes: Evidence from China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103358)  [single_country; CHN]
Wei Luo; Lixin Tang; Yaxin Yang; Xianqiang Zou  |  Robots as guardians: Industrial automation and workplace safety in China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103381)  [single_country; CHN]
Wenjia Tian; Wang Zhi; Qinghua Zhang  |  Land allocation and industrial agglomeration: Evidence from the 2007 reform in China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103351)  [single_country; CHN]
Xing Chen; Peng Zhang; Peng Zhang; Zhang Ping; Zhang Ping; Andong Zhuge  |  The enduring trauma: How officials' childhood famine experiences affect year-end spending surge  (JDE 2024, doi:10.1016/j.jdeveco.2024.103356)  [single_country; CHN]
Yuan Wang; Huayu Xu; Xiaoguang Xu; Yongmei Zhou  |  The power of children in energy conservation: Evidence from a randomized controlled trial  (JDE 2024, doi:10.1016/j.jdeveco.2024.103439)  [single_country; CHN]
Yumi Koh; Jing Li; Yifan Wu; Junjian Yi; Hanzhe Zhang  |  Young women in cities: Urbanization and gender-biased migration  (JDE 2024, doi:10.1016/j.jdeveco.2024.103378)  [single_country; CHN]
George Alessandria; Shafaat Yar Khan; Armen Khederlarian; Kim J. Ruhl; Joseph B. Steinberg  |  Trade Policy Dynamics: Evidence from 60 Years of US-China Trade  (JPE 2024, doi:10.1086/733420)  [single_country; CHN]
Tasso Adamopoulos; Loren Brandt; Chaoran Chen; Diego Restuccia; Xiaoyun Wei  |  Land Security and Mobility Frictions  (QJE 2024, doi:10.1093/qje/qjae010)  [single_country; CHN]
Ernest Dautović; Harald Hau; Yi Huang  |  Consumption Response to Minimum Wages: Evidence from Chinese Households  (RESTAT 2024, doi:10.1162/rest_a_01411)  [single_country; CHN]
Panle Jia Barwick; Shanjun Li; D. C. Rao; Nahim Bin Zahur  |  The Health Care Cost of Air Pollution: Evidence from the World’s Largest Payment Network  (RESTAT 2024, doi:10.1162/rest_a_01430)  [single_country; CHN]
Peter Eppinger; Hong Ma  |  Optimal Ownership and Firm Performance: An Analysis of China’s FDI Liberalization  (RESTAT 2024, doi:10.1162/rest_a_01431)  [single_country; CHN]
Siyu Chen; Zihan Hu  |  How Competition Shapes Peer Effects: Evidence from a University in China  (RESTAT 2024, doi:10.1162/rest_a_01471)  [single_country; CHN]
Yunjie Chen; Yongzheng Liu; Hailun Wei  |  The Unintended Consequences of Home-Buying Restriction in China  (RESTAT 2024, doi:10.1162/rest_a_01480)  [single_country; CHN]
Sebastian Axbard; Zichen Deng  |  Informed Enforcement: Lessons from Pollution Monitoring in China  (AEJ_Applied 2023, doi:10.1257/app.20210386)  [single_country; CHN]
Fangwen Lu; Weizeng Sun; Jianfeng Wu  |  Special Economic Zones and Human Capital Investment: 30 Years of Evidence from China  (AEJ_EP 2023, doi:10.1257/pol.20200492)  [single_country; CHN]
Jia Wu; Junsen Zhang; Chunchao Wang  |  Student Performance, Peer Effects, and Friend Networks: Evidence from a Randomized Peer Intervention  (AEJ_EP 2023, doi:10.1257/pol.20200563)  [single_country; CHN]
Yiming Cao; Raymond Fisman; Hui Lin; Yong‐Xiang Wang  |  SOEs and Soft Incentive Constraints in State Bank Lending  (AEJ_EP 2023, doi:10.1257/pol.20200873)  [single_country; CHN]
Yongwei Nian; Chunyang Wang  |  Go with the Politician  (AEJ_EP 2023, doi:10.1257/pol.20200882)  [single_country; CHN]
Alain de Janvry; Guojun He; Élisabeth Sadoulet; Shaoda Wang; Qiong Zhang  |  Subjective Performance Evaluation, Influence Activities, and Bureaucratic Work Behavior: Evidence from China  (AER 2023, doi:10.1257/aer.20211207)  [single_country; CHN]
Panle Jia Barwick; Yanyan Liu; Eleonora Patacchini; Qi Wu  |  Information, Mobile Communication, and Referral Effects  (AER 2023, doi:10.1257/aer.20200187)  [single_country; CHN]
Chaoran Chen; Ashique Habib; Xiaodong Zhu  |  Finance, Managerial Inputs, and Misallocation  (AERI 2023, doi:10.1257/aeri.20220285)  [single_country; CHN]
Kirill Borusyak; Peter Hull  |  Nonrandom Exposure to Exogenous Shocks  (ECMA 2023, doi:10.3982/ecta19367)  [single_country; CHN]
